transaction_narration,label
Education Loan EMI deducted Rs 48431 Ref:cc3b99e0,emi
Online purchase at Reliance Trends Rs 39252 Ref:8a38c764,shopping
Home Loan EMI deducted Rs 45275 Ref:fe48373b,emi
Investment in Fixed Deposit Rs 24394 Ref:7bac076c,investment
Travel booking via SpiceJet amount Rs 28663 Ref:66e8bd0d,travel
Education Loan EMI deducted Rs 1233 Ref:1c0490e3,emi
Investment in Stocks Rs 33471 Ref:9e1ec827,investment
Online purchase at DMart Rs 154 Ref:0cbd9749,shopping
Travel booking via SpiceJet amount Rs 11153 Ref:0b98f59c,travel
Investment in Stocks Rs 47616 Ref:81aef6fd,investment
Payment of Rs 33498 at Cafe Coffee Day Ref:8b622dc0,food
Car Loan EMI deducted Rs 48330 Ref:54cc0a7a,emi
Travel booking via SpiceJet amount Rs 31819 Ref:d51c3569,travel
Travel booking via IndiGo amount Rs 34409 Ref:9491ab03,travel
Investment in Fixed Deposit Rs 837 Ref:b9fe7f4b,investment
Car Loan EMI deducted Rs 16666 Ref:97174251,emi
Home Loan EMI deducted Rs 18450 Ref:ed968c1b,emi
Payment of Rs 42186 at Dominos Ref:eaf6c3ea,food
Payment of Rs 14816 at Zomato Ref:0ba4770f,food
Investment in NPS Rs 10988 Ref:56e8d3cf,investment
Travel booking via IndiGo amount Rs 23504 Ref:e61a90fb,travel
Payment of Rs 48703 at McDonalds Ref:da8c520b,food
Home Loan EMI deducted Rs 27466 Ref:433fa66e,emi
Travel booking via IndiGo amount Rs 11447 Ref:5f8d2250,travel
Home Loan EMI deducted Rs 17881 Ref:1bda9d19,emi
Investment in Mutual Fund Rs 29491 Ref:8bb1dded,investment
Investment in SIP Rs 5771 Ref:06a173e8,investment
Travel booking via Uber amount Rs 22980 Ref:eaa1666f,travel
Online purchase at Reliance Trends Rs 16396 Ref:16f065be,shopping
Education Loan EMI deducted Rs 5943 Ref:aa7fd58e,emi
Online purchase at Reliance Trends Rs 19053 Ref:3afaf6ef,shopping
Online purchase at Croma Rs 6838 Ref:b503d547,shopping
Online purchase at Amazon Rs 35144 Ref:7946aa82,shopping
Car Loan EMI deducted Rs 19309 Ref:d5998294,emi
Car Loan EMI deducted Rs 33255 Ref:10dcc761,emi
Investment in Stocks Rs 2452 Ref:c5d345bb,investment
Payment of Rs 10699 at Dominos Ref:2223eb13,food
Personal Loan EMI deducted Rs 42099 Ref:b96cabd5,emi
Travel booking via SpiceJet amount Rs 37105 Ref:b8469fba,travel
Home Loan EMI deducted Rs 11281 Ref:b1cc477d,emi
Payment of Rs 32301 at Zomato Ref:8cc1b801,food
Online purchase at DMart Rs 21109 Ref:a01f8908,shopping
Payment of Rs 26527 at McDonalds Ref:e4ad9107,food
Education Loan EMI deducted Rs 11183 Ref:2f9edf96,emi
Online purchase at Croma Rs 25733 Ref:8e4e8e57,shopping
Investment in Mutual Fund Rs 8055 Ref:8e9be29f,investment
Personal Loan EMI deducted Rs 44203 Ref:5e7925d8,emi
Home Loan EMI deducted Rs 21768 Ref:6ec63eda,emi
Travel booking via IRCTC amount Rs 8549 Ref:372a125b,travel
Online purchase at DMart Rs 9593 Ref:760bfe11,shopping
Payment of Rs 16885 at Cafe Coffee Day Ref:0202ceeb,food
Travel booking via Metro amount Rs 6153 Ref:f46860bb,travel
Online purchase at Reliance Trends Rs 22876 Ref:df1605ba,shopping
Personal Loan EMI deducted Rs 42074 Ref:bc6fd897,emi
Travel booking via SpiceJet amount Rs 14773 Ref:e6a99ff9,travel
Car Loan EMI deducted Rs 41551 Ref:ebf0216f,emi
Travel booking via IndiGo amount Rs 47610 Ref:b89076eb,travel
Car Loan EMI deducted Rs 23586 Ref:b1b0017c,emi
Investment in Fixed Deposit Rs 47190 Ref:4aeffcba,investment
Investment in PPF Rs 18305 Ref:a5f240b6,investment
Travel booking via SpiceJet amount Rs 16043 Ref:ca48d742,travel
Travel booking via Ola amount Rs 7814 Ref:02531563,travel
Online purchase at DMart Rs 2667 Ref:0590f402,shopping
Travel booking via IRCTC amount Rs 32782 Ref:542c5805,travel
Online purchase at Amazon Rs 33034 Ref:5ef1e6da,shopping
Investment in Fixed Deposit Rs 42374 Ref:2c74bbfb,investment
Investment in Mutual Fund Rs 2737 Ref:3c90b468,investment
Personal Loan EMI deducted Rs 31792 Ref:c99e4e9f,emi
Investment in NPS Rs 42908 Ref:fc58d406,investment
Car Loan EMI deducted Rs 23672 Ref:8149d154,emi
Investment in SIP Rs 39036 Ref:ae05d85c,investment
Payment of Rs 5496 at Dominos Ref:7641dc87,food
Car Loan EMI deducted Rs 41151 Ref:68cd8ef9,emi
Home Loan EMI deducted Rs 33819 Ref:8ad66bdd,emi
Travel booking via Uber amount Rs 20050 Ref:29c1fd7c,travel
Investment in PPF Rs 30962 Ref:d80dd2d4,investment
Travel booking via IRCTC amount Rs 2317 Ref:6f47c07a,travel
Payment of Rs 27460 at McDonalds Ref:a0c83383,food
Investment in Fixed Deposit Rs 46052 Ref:c08ec303,investment
Payment of Rs 27761 at Dominos Ref:34231a9e,food
Travel booking via IRCTC amount Rs 28665 Ref:fbf53e04,travel
Investment in NPS Rs 15066 Ref:5698fcda,investment
Payment of Rs 22764 at Dominos Ref:29983b0e,food
Online purchase at Myntra Rs 29109 Ref:8de9ddec,shopping
Investment in Mutual Fund Rs 27585 Ref:96ec325a,investment
Travel booking via Metro amount Rs 21686 Ref:22f149c2,travel
Travel booking via Metro amount Rs 33772 Ref:7ffd7885,travel
Online purchase at Amazon Rs 43277 Ref:1feacb62,shopping
Payment of Rs 17251 at Dominos Ref:6260acaa,food
Travel booking via Metro amount Rs 47732 Ref:609b058b,travel
Investment in SIP Rs 44858 Ref:6c84f35c,investment
Home Loan EMI deducted Rs 44412 Ref:be038bc1,emi
Investment in Fixed Deposit Rs 43114 Ref:ac540685,investment
Investment in PPF Rs 13334 Ref:ac9b5f20,investment
Travel booking via IRCTC amount Rs 16783 Ref:ba33fcb6,travel
Online purchase at Reliance Trends Rs 18835 Ref:f2d55ecb,shopping
Online purchase at Flipkart Rs 4993 Ref:a0fbf11c,shopping
Home Loan EMI deducted Rs 15503 Ref:414166cd,emi
Payment of Rs 43870 at Cafe Coffee Day Ref:e415ff2f,food
Payment of Rs 5161 at Cafe Coffee Day Ref:fadcbe70,food
Car Loan EMI deducted Rs 201 Ref:a5333046,emi
Car Loan EMI deducted Rs 38615 Ref:e3c6efa1,emi
